
t, n, s
206, 60000, 142
206, 67500, 128
225, 71718, 129
250, 76200, 133
300, 80962, 145
300, 86022, 138
300, 91398, 131
412, 114247, 138
412, 121387, 132
425, 128973, 128
450, 137033, 128
500, 145597, 132
600, 154696, 144
600, 164364, 137
600, 174636, 131
825, 218295, 140
825, 245581, 128
900, 260929, 130
1000, 277237, 134
1000, 294564, 128
1200, 312974, 140
1200, 332534, 134
1200, 353317, 128
1650, 441646, 137
1650, 469248, 131
1700, 498576, 128
1800, 529737, 128
2000, 562845, 132
2400, 598022, 145
2400, 635398, 138
2400, 675110, 132
3300, 843887, 142
3300, 949372, 131
3400, 1008707, 128
3600, 1071751, 128
4000, 1138735, 132
4800, 1209905, 144
4800, 1285524, 138
4800, 1365869, 132
6600, 1707336, 142
6600, 1920753, 131
6800, 2040800, 129
7200, 2168350, 128
8000, 2303871, 133
9600, 2447862, 145
9600, 2600853, 139
9600, 2763406, 133
9600, 2936118, 128
