
t, n, s
206, 600000, 153
206, 675000, 138
206, 717187, 131
212, 762011, 128
250, 809636, 137
250, 860238, 130
300, 914002, 141
300, 971127, 135
300, 1031822, 129
412, 1289777, 136
412, 1370388, 130
425, 1456037, 128
500, 1547039, 137
500, 1643728, 131
600, 1746461, 142
600, 1855614, 136
600, 1971589, 131
825, 2464486, 139
825, 2772546, 129
900, 2945830, 131
1000, 3129944, 135
1000, 3325565, 130
1200, 3533412, 141
1200, 3754250, 136
1200, 3988890, 131
1650, 4986112, 139
1650, 5609376, 129
1800, 5959962, 131
2000, 6332459, 135
2000, 6728237, 130
2400, 7148751, 140
2400, 7595547, 135
2400, 8070268, 130
3300, 10087835, 138
3300, 11348814, 128
3600, 12058114, 130
4000, 12811746, 134
4000, 13612480, 129
4800, 14463260, 139
4800, 15367213, 134
4800, 16327663, 130
6600, 20409578, 138
6600, 22960775, 128
7200, 24395823, 130
8000, 25920561, 134
8000, 27540596, 129
9600, 29261883, 139
9600, 31090750, 134
9600, 33033921, 130
