t, n, s
206, 300000, 150
206, 337500, 135
206, 358593, 128
225, 381005, 130
250, 404817, 134
300, 430118, 145
300, 457000, 138
300, 485562, 132
412, 606952, 140
412, 682821, 128
450, 725497, 130
500, 770840, 134
500, 819017, 128
600, 870205, 140
600, 924592, 134
600, 982379, 128
825, 1227973, 137
825, 1304721, 131
850, 1386266, 128
900, 1472907, 128
1000, 1564963, 132
1200, 1662773, 143
1200, 1766696, 137
1200, 1877114, 132
1650, 2346392, 140
1650, 2639691, 130
1800, 2804671, 132
2000, 2979962, 136
2000, 3166209, 131
2400, 3364097, 142
2400, 3574353, 136
2400, 3797750, 131
3300, 4747187, 139
3300, 5340585, 129
3600, 5674371, 131
4000, 6029019, 135
4000, 6405832, 130
4800, 6806196, 141
4800, 7231583, 136
4800, 7683556, 130
6600, 9604445, 139
6600, 10805000, 129
7200, 11480312, 131
8000, 12197831, 135
8000, 12960195, 130
9600, 13770207, 141
9600, 14630844, 136
9600, 15545271, 131
