
t, n, s
206, 30000, 139
206, 31875, 131
225, 33867, 133
250, 35983, 136
250, 38231, 129
300, 40620, 141
300, 43158, 134
412, 53947, 142
412, 60690, 128
450, 64483, 130
500, 68513, 135
500, 72795, 128
600, 77344, 141
600, 82178, 134
825, 102722, 143
825, 115562, 130
900, 122784, 133
1000, 130458, 137
1000, 138611, 131
1200, 147274, 144
1200, 156478, 137
1200, 166257, 130
1650, 207821, 140
1650, 233798, 128
1800, 248410, 131
2000, 263935, 135
2000, 280430, 129
2400, 297956, 142
2400, 316578, 135
2400, 336364, 129
3300, 420455, 139
3300, 473011, 128
3600, 502574, 130
4000, 533984, 135
4000, 567358, 129
4800, 602817, 142
4800, 640493, 135
4800, 680523, 130
