t, n, s
206, 150000, 147
206, 168750, 132
212, 179296, 128
250, 190502, 138
250, 202408, 131
300, 215058, 143
300, 228499, 136
300, 242780, 129
412, 303475, 137
412, 322442, 130
450, 342594, 133
500, 364006, 137
500, 386756, 131
600, 410928, 142
600, 436611, 136
600, 463899, 130
825, 579873, 138
825, 616115, 133
850, 654622, 130
900, 695535, 129
1000, 739005, 133
1000, 785192, 128
1200, 834266, 139
1200, 886407, 133
1200, 941807, 128
1650, 1177258, 136
1650, 1250836, 130
1700, 1329013, 128
2000, 1412076, 137
2000, 1500330, 131
2400, 1594100, 143
2400, 1693731, 137
2400, 1799589, 131
3300, 2249486, 141
3300, 2530671, 130
3600, 2688837, 132
4000, 2856889, 136
4000, 3035444, 131
4800, 3225159, 142
4800, 3426731, 137
4800, 3640901, 131
6600, 4551126, 140
6600, 5120016, 130
6800, 5440017, 128
8000, 5780018, 137
8000, 6141269, 131
9600, 6525098, 143
9600, 6932916, 137
9600, 7366223, 132
