t, n, s
206, 30000, 137
206, 31875, 129
225, 33867, 131
250, 35983, 134
300, 38231, 146
300, 40620, 138
300, 43158, 131
412, 53947, 137
412, 57318, 130
450, 60900, 132
500, 64706, 136
500, 68750, 129
600, 73046, 141
600, 77611, 134
825, 97013, 140
825, 103076, 133
850, 109518, 130
900, 116362, 129
1000, 123634, 132
1200, 131361, 136
1200, 139571, 132
1650, 157017, 137
1650, 166830, 131
3400, 177256, 144
3300, 188334, 139
4000, 200104, 133
