t, n, s
206, 60000, 141
206, 63750, 133
212, 67734, 129
225, 71967, 128
250, 76464, 131
300, 81243, 143
300, 86320, 136
300, 91715, 129
412, 114643, 136
412, 121808, 129
450, 129421, 131
500, 137509, 135
500, 146103, 129
600, 155234, 140
600, 164936, 134
825, 206170, 141
825, 231941, 129
900, 246437, 131
1000, 261839, 135
1000, 278203, 129
1200, 295590, 140
1200, 314064, 133
1650, 353322, 143
1650, 375404, 132
1800, 398866, 129
2400, 423795, 135
3300, 476769, 134
