t, n, s
206, 150000, 146
206, 168750, 132
212, 179296, 128
250, 190502, 137
250, 202408, 130
300, 215058, 142
300, 228499, 135
300, 242780, 129
412, 303475, 136
412, 322442, 130
450, 342594, 132
500, 364006, 136
500, 386756, 130
600, 410928, 141
600, 436611, 135
600, 463899, 129
825, 579873, 137
825, 616115, 131
850, 654622, 128
900, 695535, 128
1000, 739005, 131
1200, 785192, 143
1200, 834266, 136
1200, 886407, 131
1650, 1108008, 132
1650, 1177258, 132
1700, 1250836, 129
2000, 1329013, 134
2000, 1412076, 129
2400, 1500330, 135
2400, 1594100, 128
3300, 1793362, 136
3300, 1905447, 129
4000, 2024537, 137
4800, 2151070, 138
4800, 2285511, 135
6600, 2571199, 130
8000, 2731898, 133
9600, 2902641, 137
9600, 3084056, 131
