t, n, s
206, 600000, 153
206, 675000, 138
206, 717187, 131
212, 762011, 128
250, 809636, 136
250, 860238, 130
300, 914002, 141
300, 971127, 135
300, 1031822, 129
412, 1289777, 136
412, 1370388, 130
425, 1456037, 128
500, 1547039, 136
500, 1643728, 131
600, 1746461, 142
600, 1855614, 136
600, 1971589, 131
825, 2464486, 139
825, 2772546, 129
900, 2945830, 131
1000, 3129944, 135
1000, 3325565, 130
1200, 3533412, 141
1200, 3754250, 135
1200, 3988890, 130
1650, 4986112, 138
1650, 5609376, 128
1800, 5959962, 130
2000, 6332459, 130
2400, 6728237, 135
2400, 7148751, 129
3300, 8935938, 128
4000, 9494434, 133
4000, 10087836, 128
4800, 10718325, 132
6600, 12058115, 141
6600, 13565379, 128
8000, 14413215, 131
9600, 15314040, 141
